Period,Scenario,LoadLevel,Unit,tCO2
2030,sc01,11-16 10:00:00+01:00,CT NG 44,0.0
2030,sc01,11-16 10:00:00+01:00,CC NG 33,0.0
2030,sc01,11-16 10:00:00+01:00,CT NG 30,0.0
2030,sc01,11-16 10:00:00+01:00,CT NG 53,0.0
2030,sc01,11-16 10:00:00+01:00,CC NG 31,0.0
2030,sc01,11-16 10:00:00+01:00,CT NG 56,0.0
2030,sc01,11-16 10:00:00+01:00,ST NG 10,0.0
2030,sc01,11-16 10:00:00+01:00,CT NG 25,0.0
2030,sc01,11-16 10:00:00+01:00,CC NG 05,0.0
2030,sc01,11-16 10:00:00+01:00,CT NG 28,0.0
2030,sc01,11-16 10:00:00+01:00,CC NG 01,0.0
2030,sc01,11-16 10:00:00+01:00,CC NG 10,0.0
2030,sc01,11-16 10:00:00+01:00,CC NG 21,0.0
2030,sc01,11-16 10:00:00+01:00,CT Oil 04,0.0
2030,sc01,11-16 10:00:00+01:00,CT NG 69,0.0
2030,sc01,11-16 10:00:00+01:00,CC NG 28,0.0
2030,sc01,11-16 10:00:00+01:00,CC NG 14,0.0
2030,sc01,11-16 10:00:00+01:00,CT NG 75,0.0
2030,sc01,11-16 10:00:00+01:00,CT NG 52,0.0
2030,sc01,11-16 10:00:00+01:00,CT NG 46,0.0
2030,sc01,11-16 10:00:00+01:00,CC NG 13,0.0
2030,sc01,11-16 10:00:00+01:00,CT NG 66,0.0
2030,sc01,11-16 10:00:00+01:00,CC NG 34,0.0
2030,sc01,11-16 10:00:00+01:00,ST NG 08,0.0
2030,sc01,11-16 10:00:00+01:00,CT NG 16,0.0
2030,sc01,11-16 10:00:00+01:00,CT NG 50,0.0
2030,sc01,11-16 10:00:00+01:00,CC NG 18,125.7733810818388
2030,sc01,11-16 10:00:00+01:00,CT NG 09,0.0
2030,sc01,11-16 10:00:00+01:00,CC NG 16,0.0
2030,sc01,11-16 10:00:00+01:00,ST Other 02,0.0
2030,sc01,11-16 10:00:00+01:00,CC NG 40,198.41867466628628
2030,sc01,11-16 10:00:00+01:00,CC NG 37,0.0
2030,sc01,11-16 10:00:00+01:00,CT NG 35,0.0
2030,sc01,11-16 10:00:00+01:00,ST NG 09,0.0
2030,sc01,11-16 10:00:00+01:00,CT NG 70,0.0
2030,sc01,11-16 10:00:00+01:00,CT NG 21,0.0
2030,sc01,11-16 10:00:00+01:00,ST NG 04,0.0
2030,sc01,11-16 10:00:00+01:00,CT Oil 02,0.0
2030,sc01,11-16 10:00:00+01:00,CC NG 19,0.0
2030,sc01,11-16 10:00:00+01:00,CT NG 03,0.0
2030,sc01,11-16 10:00:00+01:00,CT NG 23,0.0
2030,sc01,11-16 10:00:00+01:00,CT NG 07,0.0
2030,sc01,11-16 10:00:00+01:00,CC NG 23,0.0
2030,sc01,11-16 10:00:00+01:00,CT NG 13,0.0
2030,sc01,11-16 10:00:00+01:00,ST NG 05,0.0
2030,sc01,11-16 10:00:00+01:00,CT NG 34,0.0
2030,sc01,11-16 10:00:00+01:00,CC NG 39,0.0
2030,sc01,11-16 10:00:00+01:00,CT NG 67,0.0
2030,sc01,11-16 10:00:00+01:00,CC NG 32,0.0
2030,sc01,11-16 18:00:00+01:00,ST NG 01,0.0
2030,sc01,11-16 18:00:00+01:00,CC NG 29,0.0
2030,sc01,11-16 18:00:00+01:00,CT NG 14,11.173159477583999
2030,sc01,11-16 18:00:00+01:00,ST NG 03,0.0
2030,sc01,11-16 18:00:00+01:00,CT NG 55,0.0
2030,sc01,11-16 18:00:00+01:00,CC NG 36,0.0
2030,sc01,11-16 18:00:00+01:00,CC NG 17,0.0
2030,sc01,11-16 18:00:00+01:00,CT NG 36,0.0
2030,sc01,11-16 18:00:00+01:00,CC NG 15,14.550015269556004
2030,sc01,11-16 18:00:00+01:00,CC NG 09,0.0
2030,sc01,11-16 18:00:00+01:00,CT NG 01,11.827914886515602
2030,sc01,11-16 18:00:00+01:00,CT NG 73,0.0
2030,sc01,11-16 18:00:00+01:00,CC NG 08,0.0
2030,sc01,11-16 18:00:00+01:00,ST NG 06,0.0
2030,sc01,11-16 18:00:00+01:00,CC NG 35,0.0
2030,sc01,11-16 18:00:00+01:00,CT NG 43,11.99400375165
2030,sc01,11-16 18:00:00+01:00,CT NG 47,0.0
2030,sc01,11-16 18:00:00+01:00,CC NG 38,28.190552637000803
2030,sc01,11-16 18:00:00+01:00,CT NG 02,11.815320914446803
2030,sc01,11-16 18:00:00+01:00,CT NG 08,0.0
2030,sc01,11-16 18:00:00+01:00,ST Coal 01,0.0
2030,sc01,11-16 18:00:00+01:00,CT NG 48,0.0
2030,sc01,11-16 18:00:00+01:00,CT NG 05,0.0
2030,sc01,11-16 18:00:00+01:00,CC NG 26,0.0
2030,sc01,11-16 18:00:00+01:00,CT NG 12,0.0
2030,sc01,11-16 18:00:00+01:00,CT NG 11,0.0
2030,sc01,11-16 18:00:00+01:00,CC NG 25,0.0
2030,sc01,11-16 18:00:00+01:00,CC NG 04,107.00020240959999
2030,sc01,11-16 18:00:00+01:00,CT NG 74,15.612825192300003
2030,sc01,11-16 18:00:00+01:00,CC NG 11,173.30094452051637
2030,sc01,11-16 18:00:00+01:00,CT NG 15,0.0
2030,sc01,11-16 18:00:00+01:00,CC NG 27,11.586992809173003
2030,sc01,11-16 18:00:00+01:00,CC NG 22,142.5648263357362
2030,sc01,11-16 18:00:00+01:00,CT Oil 05,37.253901304079996
2030,sc01,11-16 18:00:00+01:00,CT Oil 01,0.0
2030,sc01,11-16 18:00:00+01:00,CT NG 68,0.0
2030,sc01,11-16 18:00:00+01:00,CT NG 41,21.281933759921998
2030,sc01,11-16 18:00:00+01:00,CC NG 06,6.726262249458
2030,sc01,11-16 18:00:00+01:00,CT NG 72,0.0
2030,sc01,11-16 18:00:00+01:00,CT NG 71,0.0
2030,sc01,11-16 18:00:00+01:00,CC NG 12,68.8826990571
2030,sc01,11-16 18:00:00+01:00,CT NG 22,0.0
2030,sc01,11-16 18:00:00+01:00,CC NG 20,0.0
2030,sc01,11-16 18:00:00+01:00,CC NG 03,33.83651988777536
2030,sc01,11-16 18:00:00+01:00,ST NG 02,148.53616406849997
2030,sc01,11-16 18:00:00+01:00,CT NG 04,3.1590103339156963
2030,sc01,11-16 18:00:00+01:00,CT NG 54,0.0
2030,sc01,11-16 18:00:00+01:00,CT Oil 03,0.0
2030,sc01,11-16 18:00:00+01:00,CT NG 24,0.0
2030,sc01,11-16 18:00:00+01:00,CT NG 10,0.0
2030,sc01,11-16 18:00:00+01:00,CT NG 06,26.343392973461697
2030,sc01,11-16 18:00:00+01:00,CT NG 26,0.0
2030,sc01,11-16 18:00:00+01:00,CC NG 24,0.0
2030,sc01,11-16 18:00:00+01:00,CT NG 45,28.102939503984906
2030,sc01,11-16 18:00:00+01:00,CC NG 07,0.0
2030,sc01,11-16 18:00:00+01:00,CT NG 49,0.0
2030,sc01,11-16 18:00:00+01:00,CT NG 42,44.75851877536319
2030,sc01,11-16 18:00:00+01:00,ST NG 07,0.0
2030,sc01,11-16 18:00:00+01:00,CT NG 44,28.102939503984906
2030,sc01,11-16 18:00:00+01:00,CC NG 33,0.0
2030,sc01,11-16 18:00:00+01:00,CT NG 30,0.0
2030,sc01,11-16 18:00:00+01:00,CT NG 53,0.0
2030,sc01,11-16 18:00:00+01:00,CC NG 31,0.0
2030,sc01,11-16 18:00:00+01:00,CT NG 56,0.0
2030,sc01,11-16 18:00:00+01:00,ST NG 10,0.0
2030,sc01,11-16 18:00:00+01:00,CT NG 25,0.0
2030,sc01,11-16 18:00:00+01:00,CC NG 05,0.0
2030,sc01,11-16 18:00:00+01:00,CT NG 28,0.0
2030,sc01,11-16 18:00:00+01:00,CC NG 01,13.937976857411002
2030,sc01,11-16 18:00:00+01:00,CC NG 10,32.83867873048814
2030,sc01,11-16 18:00:00+01:00,CC NG 21,0.0
2030,sc01,11-16 18:00:00+01:00,CT Oil 04,37.253901304079996
2030,sc01,11-16 18:00:00+01:00,CT NG 69,0.0
2030,sc01,11-16 18:00:00+01:00,CC NG 28,1.3257008469133065
2030,sc01,11-16 18:00:00+01:00,CC NG 14,62.409633350790244
2030,sc01,11-16 18:00:00+01:00,CT NG 75,27.411100410304797
2030,sc01,11-16 18:00:00+01:00,CT NG 52,0.0
2030,sc01,11-16 18:00:00+01:00,CT NG 46,0.0
2030,sc01,11-16 18:00:00+01:00,CC NG 13,19.2444837091482
2030,sc01,11-16 18:00:00+01:00,CT NG 66,0.0
2030,sc01,11-16 18:00:00+01:00,CC NG 34,0.0
2030,sc01,11-16 18:00:00+01:00,ST NG 08,0.0
2030,sc01,11-16 18:00:00+01:00,CT NG 16,0.0
2030,sc01,11-16 18:00:00+01:00,CT NG 50,0.0
2030,sc01,11-16 18:00:00+01:00,CC NG 18,102.06379740789866
2030,sc01,11-16 18:00:00+01:00,CT NG 09,0.0
2030,sc01,11-16 18:00:00+01:00,CC NG 16,262.6472798731035
2030,sc01,11-16 18:00:00+01:00,ST Other 02,0.0
2030,sc01,11-16 18:00:00+01:00,CC NG 40,219.2404588215338
2030,sc01,11-16 18:00:00+01:00,CC NG 37,0.0
2030,sc01,11-16 18:00:00+01:00,CT NG 35,0.0
2030,sc01,11-16 18:00:00+01:00,ST NG 09,0.0
2030,sc01,11-16 18:00:00+01:00,CT NG 70,0.0
2030,sc01,11-16 18:00:00+01:00,CT NG 21,0.0
2030,sc01,11-16 18:00:00+01:00,ST NG 04,13.917148671887999
2030,sc01,11-16 18:00:00+01:00,CT Oil 02,0.0
2030,sc01,11-16 18:00:00+01:00,CC NG 19,36.11276703174
2030,sc01,11-16 18:00:00+01:00,CT NG 03,11.5252320252465
2030,sc01,11-16 18:00:00+01:00,CT NG 23,0.0
2030,sc01,11-16 18:00:00+01:00,CT NG 07,26.343392973461697
2030,sc01,11-16 18:00:00+01:00,CC NG 23,62.324696463466566
2030,sc01,11-16 18:00:00+01:00,CT NG 13,11.173159477583999
2030,sc01,11-16 18:00:00+01:00,ST NG 05,0.0
2030,sc01,11-16 18:00:00+01:00,CT NG 34,0.0
2030,sc01,11-16 18:00:00+01:00,CC NG 39,82.956151416398
2030,sc01,11-16 18:00:00+01:00,CT NG 67,0.0
2030,sc01,11-16 18:00:00+01:00,CC NG 32,0.0
2030,sc01,11-17 19:00:00+01:00,ST NG 01,149.75633889280002
2030,sc01,11-17 19:00:00+01:00,CC NG 29,0.0
2030,sc01,11-17 19:00:00+01:00,CT NG 14,11.173159477583999
2030,sc01,11-17 19:00:00+01:00,ST NG 03,0.0
2030,sc01,11-17 19:00:00+01:00,CT NG 55,0.0
2030,sc01,11-17 19:00:00+01:00,CC NG 36,0.0
2030,sc01,11-17 19:00:00+01:00,CC NG 17,0.0
2030,sc01,11-17 19:00:00+01:00,CT NG 36,0.0
2030,sc01,11-17 19:00:00+01:00,CC NG 15,14.550015269556004
2030,sc01,11-17 19:00:00+01:00,CC NG 09,0.0
2030,sc01,11-17 19:00:00+01:00,CT NG 01,11.827914886515602
2030,sc01,11-17 19:00:00+01:00,CT NG 73,0.0
2030,sc01,11-17 19:00:00+01:00,CC NG 08,0.0
2030,sc01,11-17 19:00:00+01:00,ST NG 06,0.0
2030,sc01,11-17 19:00:00+01:00,CC NG 35,0.0
2030,sc01,11-17 19:00:00+01:00,CT NG 43,11.99400375165
2030,sc01,11-17 19:00:00+01:00,CT NG 47,0.0
2030,sc01,11-17 19:00:00+01:00,CC NG 38,28.190552637000803
2030,sc01,11-17 19:00:00+01:00,CT NG 02,11.815320914446803
2030,sc01,11-17 19:00:00+01:00,CT NG 08,0.0
2030,sc01,11-17 19:00:00+01:00,ST Coal 01,0.0
2030,sc01,11-17 19:00:00+01:00,CT NG 48,0.0
2030,sc01,11-17 19:00:00+01:00,CT NG 05,26.343392973461697
2030,sc01,11-17 19:00:00+01:00,CC NG 26,0.0
2030,sc01,11-17 19:00:00+01:00,CT NG 12,0.0
2030,sc01,11-17 19:00:00+01:00,CT NG 11,0.0
2030,sc01,11-17 19:00:00+01:00,CC NG 25,0.0
2030,sc01,11-17 19:00:00+01:00,CC NG 04,107.00020240959999
2030,sc01,11-17 19:00:00+01:00,CT NG 74,15.612825192300003
2030,sc01,11-17 19:00:00+01:00,CC NG 11,173.30094452051637
2030,sc01,11-17 19:00:00+01:00,CT NG 15,0.0
2030,sc01,11-17 19:00:00+01:00,CC NG 27,11.586992809173003
2030,sc01,11-17 19:00:00+01:00,CC NG 22,165.3211521318268
2030,sc01,11-17 19:00:00+01:00,CT Oil 05,37.253901304079996
2030,sc01,11-17 19:00:00+01:00,CT Oil 01,0.0
2030,sc01,11-17 19:00:00+01:00,CT NG 68,0.0
2030,sc01,11-17 19:00:00+01:00,CT NG 41,21.281933759921998
2030,sc01,11-17 19:00:00+01:00,CC NG 06,6.726262249458
2030,sc01,11-17 19:00:00+01:00,CT NG 72,0.0
2030,sc01,11-17 19:00:00+01:00,CT NG 71,0.0
2030,sc01,11-17 19:00:00+01:00,CC NG 12,68.8826990571
2030,sc01,11-17 19:00:00+01:00,CT NG 22,0.0
2030,sc01,11-17 19:00:00+01:00,CC NG 20,0.0
2030,sc01,11-17 19:00:00+01:00,CC NG 03,33.83651988777536
2030,sc01,11-17 19:00:00+01:00,ST NG 02,148.53616406849997
2030,sc01,11-17 19:00:00+01:00,CT NG 04,11.5252320252465
2030,sc01,11-17 19:00:00+01:00,CT NG 54,0.0
2030,sc01,11-17 19:00:00+01:00,CT Oil 03,0.0
2030,sc01,11-17 19:00:00+01:00,CT NG 24,0.0
2030,sc01,11-17 19:00:00+01:00,CT NG 10,0.0
2030,sc01,11-17 19:00:00+01:00,CT NG 06,26.343392973461697
2030,sc01,11-17 19:00:00+01:00,CT NG 26,0.0
2030,sc01,11-17 19:00:00+01:00,CC NG 24,0.0
2030,sc01,11-17 19:00:00+01:00,CT NG 45,28.102939503984906
2030,sc01,11-17 19:00:00+01:00,CC NG 07,0.0
2030,sc01,11-17 19:00:00+01:00,CT NG 49,0.0
2030,sc01,11-17 19:00:00+01:00,CT NG 42,44.75851877536319
2030,sc01,11-17 19:00:00+01:00,ST NG 07,0.0
2030,sc01,11-17 19:00:00+01:00,CT NG 44,28.102939503984906
2030,sc01,11-17 19:00:00+01:00,CC NG 33,0.0
2030,sc01,11-17 19:00:00+01:00,CT NG 30,0.0
2030,sc01,11-17 19:00:00+01:00,CT NG 53,0.0
2030,sc01,11-17 19:00:00+01:00,CC NG 31,0.0
2030,sc01,11-17 19:00:00+01:00,CT NG 56,0.0
2030,sc01,11-17 19:00:00+01:00,ST NG 10,0.0
2030,sc01,11-17 19:00:00+01:00,CT NG 25,0.0
2030,sc01,11-17 19:00:00+01:00,CC NG 05,27.793141608300004
2030,sc01,11-17 19:00:00+01:00,CT NG 28,0.0
2030,sc01,11-17 19:00:00+01:00,CC NG 01,13.937976857411002
2030,sc01,11-17 19:00:00+01:00,CC NG 10,32.83867873048814
2030,sc01,11-17 19:00:00+01:00,CC NG 21,0.0
2030,sc01,11-17 19:00:00+01:00,CT Oil 04,37.253901304079996
2030,sc01,11-17 19:00:00+01:00,CT NG 69,0.0
2030,sc01,11-17 19:00:00+01:00,CC NG 28,65.73676064729399
2030,sc01,11-17 19:00:00+01:00,CC NG 14,62.409633350790244
2030,sc01,11-17 19:00:00+01:00,CT NG 75,27.411100410304797
2030,sc01,11-17 19:00:00+01:00,CT NG 52,0.0
2030,sc01,11-17 19:00:00+01:00,CT NG 46,0.0
2030,sc01,11-17 19:00:00+01:00,CC NG 13,19.2444837091482
2030,sc01,11-17 19:00:00+01:00,CT NG 66,0.0
2030,sc01,11-17 19:00:00+01:00,CC NG 34,0.0
2030,sc01,11-17 19:00:00+01:00,ST NG 08,0.0
2030,sc01,11-17 19:00:00+01:00,CT NG 16,0.0
2030,sc01,11-17 19:00:00+01:00,CT NG 50,0.0
2030,sc01,11-17 19:00:00+01:00,CC NG 18,94.43669520766575
2030,sc01,11-17 19:00:00+01:00,CT NG 09,0.0
2030,sc01,11-17 19:00:00+01:00,CC NG 16,262.6472798731035
2030,sc01,11-17 19:00:00+01:00,ST Other 02,0.0
2030,sc01,11-17 19:00:00+01:00,CC NG 40,219.2404588215338
2030,sc01,11-17 19:00:00+01:00,CC NG 37,132.91492245656073
2030,sc01,11-17 19:00:00+01:00,CT NG 35,22.530402267012906
2030,sc01,11-17 19:00:00+01:00,ST NG 09,0.0
2030,sc01,11-17 19:00:00+01:00,CT NG 70,0.0
2030,sc01,11-17 19:00:00+01:00,CT NG 21,0.0
2030,sc01,11-17 19:00:00+01:00,ST NG 04,13.917148671887999
2030,sc01,11-17 19:00:00+01:00,CT Oil 02,0.0
2030,sc01,11-17 19:00:00+01:00,CC NG 19,36.11276703174
2030,sc01,11-17 19:00:00+01:00,CT NG 03,11.5252320252465
2030,sc01,11-17 19:00:00+01:00,CT NG 23,0.0
2030,sc01,11-17 19:00:00+01:00,CT NG 07,26.343392973461697
2030,sc01,11-17 19:00:00+01:00,CC NG 23,145.8361009633269
2030,sc01,11-17 19:00:00+01:00,CT NG 13,11.173159477583999
2030,sc01,11-17 19:00:00+01:00,ST NG 05,0.0
2030,sc01,11-17 19:00:00+01:00,CT NG 34,28.919865756300002
2030,sc01,11-17 19:00:00+01:00,CC NG 39,82.956151416398
2030,sc01,11-17 19:00:00+01:00,CT NG 67,0.0
2030,sc01,11-17 19:00:00+01:00,CC NG 32,0.0
2030,sc01,11-18 05:00:00+01:00,ST NG 01,0.0
2030,sc01,11-18 05:00:00+01:00,CC NG 29,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 14,0.0
2030,sc01,11-18 05:00:00+01:00,ST NG 03,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 55,0.0
2030,sc01,11-18 05:00:00+01:00,CC NG 36,0.0
2030,sc01,11-18 05:00:00+01:00,CC NG 17,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 36,0.0
2030,sc01,11-18 05:00:00+01:00,CC NG 15,14.550015269556004
2030,sc01,11-18 05:00:00+01:00,CC NG 09,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 01,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 73,0.0
2030,sc01,11-18 05:00:00+01:00,CC NG 08,0.0
2030,sc01,11-18 05:00:00+01:00,ST NG 06,0.0
2030,sc01,11-18 05:00:00+01:00,CC NG 35,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 43,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 47,0.0
2030,sc01,11-18 05:00:00+01:00,CC NG 38,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 02,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 08,0.0
2030,sc01,11-18 05:00:00+01:00,ST Coal 01,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 48,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 05,0.0
2030,sc01,11-18 05:00:00+01:00,CC NG 26,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 12,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 11,0.0
2030,sc01,11-18 05:00:00+01:00,CC NG 25,0.0
2030,sc01,11-18 05:00:00+01:00,CC NG 04,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 74,15.612825192300003
2030,sc01,11-18 05:00:00+01:00,CC NG 11,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 15,0.0
2030,sc01,11-18 05:00:00+01:00,CC NG 27,0.0
2030,sc01,11-18 05:00:00+01:00,CC NG 22,0.0
2030,sc01,11-18 05:00:00+01:00,CT Oil 05,0.0
2030,sc01,11-18 05:00:00+01:00,CT Oil 01,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 68,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 41,21.281933759921998
2030,sc01,11-18 05:00:00+01:00,CC NG 06,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 72,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 71,0.0
2030,sc01,11-18 05:00:00+01:00,CC NG 12,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 22,0.0
2030,sc01,11-18 05:00:00+01:00,CC NG 20,0.0
2030,sc01,11-18 05:00:00+01:00,CC NG 03,0.0
2030,sc01,11-18 05:00:00+01:00,ST NG 02,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 04,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 54,0.0
2030,sc01,11-18 05:00:00+01:00,CT Oil 03,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 24,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 10,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 06,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 26,0.0
2030,sc01,11-18 05:00:00+01:00,CC NG 24,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 45,0.0
2030,sc01,11-18 05:00:00+01:00,CC NG 07,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 49,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 42,44.75851877536319
2030,sc01,11-18 05:00:00+01:00,ST NG 07,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 44,0.0
2030,sc01,11-18 05:00:00+01:00,CC NG 33,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 30,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 53,0.0
2030,sc01,11-18 05:00:00+01:00,CC NG 31,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 56,0.0
2030,sc01,11-18 05:00:00+01:00,ST NG 10,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 25,0.0
2030,sc01,11-18 05:00:00+01:00,CC NG 05,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 28,0.0
2030,sc01,11-18 05:00:00+01:00,CC NG 01,0.0
2030,sc01,11-18 05:00:00+01:00,CC NG 10,1.0485316689509032
2030,sc01,11-18 05:00:00+01:00,CC NG 21,0.0
2030,sc01,11-18 05:00:00+01:00,CT Oil 04,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 69,0.0
2030,sc01,11-18 05:00:00+01:00,CC NG 28,0.0
2030,sc01,11-18 05:00:00+01:00,CC NG 14,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 75,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 52,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 46,0.0
2030,sc01,11-18 05:00:00+01:00,CC NG 13,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 66,0.0
2030,sc01,11-18 05:00:00+01:00,CC NG 34,0.0
2030,sc01,11-18 05:00:00+01:00,ST NG 08,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 16,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 50,0.0
2030,sc01,11-18 05:00:00+01:00,CC NG 18,80.94281983077396
2030,sc01,11-18 05:00:00+01:00,CT NG 09,0.0
2030,sc01,11-18 05:00:00+01:00,CC NG 16,239.82983879353412
2030,sc01,11-18 05:00:00+01:00,ST Other 02,0.0
2030,sc01,11-18 05:00:00+01:00,CC NG 40,43.6482065602378
2030,sc01,11-18 05:00:00+01:00,CC NG 37,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 35,0.0
2030,sc01,11-18 05:00:00+01:00,ST NG 09,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 70,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 21,0.0
2030,sc01,11-18 05:00:00+01:00,ST NG 04,13.917148671887999
2030,sc01,11-18 05:00:00+01:00,CT Oil 02,0.0
2030,sc01,11-18 05:00:00+01:00,CC NG 19,36.11276703174
2030,sc01,11-18 05:00:00+01:00,CT NG 03,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 23,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 07,0.0
2030,sc01,11-18 05:00:00+01:00,CC NG 23,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 13,0.0
2030,sc01,11-18 05:00:00+01:00,ST NG 05,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 34,0.0
2030,sc01,11-18 05:00:00+01:00,CC NG 39,0.0
2030,sc01,11-18 05:00:00+01:00,CT NG 67,0.0
2030,sc01,11-18 05:00:00+01:00,CC NG 32,0.0
2030,sc01,11-18 06:00:00+01:00,ST NG 01,0.0
2030,sc01,11-18 06:00:00+01:00,CC NG 29,0.0
2030,sc01,11-18 06:00:00+01:00,CT NG 14,0.0
2030,sc01,11-18 06:00:00+01:00,ST NG 03,0.0
2030,sc01,11-18 06:00:00+01:00,CT NG 55,0.0
2030,sc01,11-18 06:00:00+01:00,CC NG 36,0.0
2030,sc01,11-18 06:00:00+01:00,CC NG 17,0.0
2030,sc01,11-18 06:00:00+01:00,CT NG 36,0.0
2030,sc01,11-18 06:00:00+01:00,CC NG 15,14.550015269556004
2030,sc01,11-18 06:00:00+01:00,CC NG 09,0.0
2030,sc01,11-18 06:00:00+01:00,CT NG 01,0.0
2030,sc01,11-18 06:00:00+01:00,CT NG 73,0.0
2030,sc01,11-18 06:00:00+01:00,CC NG 08,0.0
2030,sc01,11-18 06:00:00+01:00,ST NG 06,0.0
2030,sc01,11-18 06:00:00+01:00,CC NG 35,0.0
2030,sc01,11-18 06:00:00+01:00,CT NG 43,0.0
2030,sc01,11-18 06:00:00+01:00,CT NG 47,0.0
2030,sc01,11-18 06:00:00+01:00,CC NG 38,28.190552637000803
2030,sc01,11-18 06:00:00+01:00,CT NG 02,11.815320914446803
2030,sc01,11-18 06:00:00+01:00,CT NG 08,0.0
2030,sc01,11-18 06:00:00+01:00,ST Coal 01,0.0
2030,sc01,11-18 06:00:00+01:00,CT NG 48,0.0
2030,sc01,11-18 06:00:00+01:00,CT NG 05,0.0
2030,sc01,11-18 06:00:00+01:00,CC NG 26,0.0
2030,sc01,11-18 06:00:00+01:00,CT NG 12,0.0
2030,sc01,11-18 06:00:00+01:00,CT NG 11,0.0
2030,sc01,11-18 06:00:00+01:00,CC NG 25,0.0
2030,sc01,11-18 06:00:00+01:00,CC NG 04,97.83540449917582
2030,sc01,11-18 06:00:00+01:00,CT NG 74,15.612825192300003
2030,sc01,11-18 06:00:00+01:00,CC NG 11,15.927213142876164
2030,sc01,11-18 06:00:00+01:00,CT NG 15,0.0
2030,sc01,11-18 06:00:00+01:00,CC NG 27,0.0
2030,sc01,11-18 06:00:00+01:00,CC NG 22,125.23065731585342
2030,sc01,11-18 06:00:00+01:00,CT Oil 05,0.0
2030,sc01,11-18 06:00:00+01:00,CT Oil 01,0.0
2030,sc01,11-18 06:00:00+01:00,CT NG 68,0.0
2030,sc01,11-18 06:00:00+01:00,CT NG 41,21.281933759921998
2030,sc01,11-18 06:00:00+01:00,CC NG 06,0.0
2030,sc01,11-18 06:00:00+01:00,CT NG 72,0.0
2030,sc01,11-18 06:00:00+01:00,CT NG 71,0.0
2030,sc01,11-18 06:00:00+01:00,CC NG 12,68.8826990571
2030,sc01,11-18 06:00:00+01:00,CT NG 22,0.0
2030,sc01,11-18 06:00:00+01:00,CC NG 20,0.0
2030,sc01,11-18 06:00:00+01:00,CC NG 03,33.83651988777536
2030,sc01,11-18 06:00:00+01:00,ST NG 02,32.531066341973954
2030,sc01,11-18 06:00:00+01:00,CT NG 04,0.0
2030,sc01,11-18 06:00:00+01:00,CT NG 54,0.0
2030,sc01,11-18 06:00:00+01:00,CT Oil 03,0.0
2030,sc01,11-18 06:00:00+01:00,CT NG 24,0.0
2030,sc01,11-18 06:00:00+01:00,CT NG 10,0.0
2030,sc01,11-18 06:00:00+01:00,CT NG 06,0.0
2030,sc01,11-18 06:00:00+01:00,CT NG 26,0.0
